PH,potential,conductivity,Output
6.2,13.5,1619,0
6.1,13.6,1630,0
6.1,15.1,1616,0
6.2,13,1618,0
6.3,14.1,1629,0
6.1,14.2,1614,0
6.1,14,1609,0
6.1,15.9,1641,0
6.1,15.1,1610,0
6.1,16.3,1621,0
6.4,14.2,1656,0
6.1,14,1648,0
6.1,14,1651,0
6.1,13.2,1642,0
6.1,13.8,1689,0
6.1,14.4,1600,0
6.1,13.9,1634,0
6.1,13.3,1626,0
6.1,13.7,1631,0
6.2,12,1636,0
6.1,13.9,1566,0
6.1,13.8,1647,0
6.2,15.5,1719,0
6.1,13.3,1580,0
6.1,13.3,1672,0
6.2,12.6,1668,0
6.1,13.7,1700,0
6.1,14,1623,0
6.1,14.3,1666,0
6.1,13.6,1648,0
6.1,13.8,1667,0
6.1,13.5,1654,0
6.1,15.2,1654,0
6.1,14.6,1681,0
6.1,14.2,1657,0
6.1,14.5,1637,0
6.2,13.4,1687,0
6.1,14.3,1617,0
6.1,14.9,1697,0
6.1,14.6,1665,0
6.1,15.9,1698,0
6.1,14,1694,0
6.1,15.4,1669,0
6.1,16,1622,0
6.1,16,1676,1
6,20.3,1679,1
5.8,29.6,1657,1
6,22,1602,1
5.9,21.2,1667,1
5.8,29.7,1543,1
6,22,1577,1
5.9,24.9,1528,1
6,22.3,1576,1
6,21,1580,1
6.1,14.4,1699,0
6.1,15.8,1656,0
6.1,15.2,1666,0
6.1,15.6,1698,0
6.1,15.5,1671,0
6.1,13.6,1668,0
6.2,11.9,1710,0
6.2,12.8,1729,0
6.1,13.3,1688,0
6.1,13.6,1680,0
6.2,12.4,1648,0
